Condition,Model,,df,RMSEA,SRMR,CFI,TLI,AIC
Condition 1,3-factor substantive,300.86,132,0.14,0.11,0.68,0.63,"3,282.88"
,3-factor attitudinal,290.33,132,0.14,0.11,0.7,0.65,"3,272.35"
Condition 2,3-factor substantive,310.01,132,0.15,0.1,0.71,0.66,"3,257.45"
,3-factor attitudinal,322.52,132,0.15,0.1,0.69,0.64,"3,269.96"
Condition 3,3-factor substantive,252.07,132,0.12,0.1,0.78,0.74,"3,510.32"
,3-factor attitudinal,275.74,132,0.13,0.1,0.73,0.69,"3,534.00"
Condition 4,3-factor substantive,224.96,132,0.1,0.09,0.82,0.79,"3,421.64"
,3-factor attitudinal,228.99,132,0.1,0.09,0.81,0.78,"3,425.66"
Condition 5,3-factor substantive,549.8,132,0.1,0.05,0.9,0.89,"14,932.57"
,3-factor attitudinal,497.9,132,0.1,0.04,0.92,0.9,"14,880.67"
Condition 6,3-factor substantive,468.02,132,0.09,0.05,0.91,0.9,"17,953.02"
,3-factor attitudinal,610.6,132,0.1,0.06,0.88,0.86,"18,095.61"
Overall,3-factor substantive,995.34,132,0.09,0.05,0.91,0.9,"46,915.05"
,3-factor attitudinal,"1,103.47",132,0.09,0.05,0.9,0.88,"47,023.18"
